Changes,General Category
Resolved a problem with the previous solution for LOG4J2-392 that resulted in dropped events when using AsyncLoggerConfig with slow appenders when application is stopped. Fixes LOG4J2-392. Thanks to Andre Bogus.	,Bug fix
The OSGi version of log4j-web imports Servlet 2.5 at minimum instead of 3.0. Fixes LOG4J2-613.,Update dependency
Unit tests are now less verbose during the build process. Fixes LOG4J2-602.,Quality assurance
Fix shutdown thread memory leak in servlet containers. Fixes LOG4J2-570.,Memory improvement
"Use Clock to generate all log event timestamps, not just for Async Loggers. Fixes LOG4J2-628.",Bug fix
Document the system properties used in Log4J 2. Fixes LOG4J2-629.,Documentation
	Make Throwable transient in ThrowableProxy. Fixes LOG4J2-542.,Code redesign
Update SLF4J to 1.7.7. Fixes LOG4J2-617.,Update dependency
Update Jackson to 2.3.3. Fixes LOG4J2-616.,Update dependency
"During shutdown, a NullPointerException could be thrown due to the NullConfiguration class no longer being available to the ClassLoader. Fixes LOG4J2-440.",Bug fix
Cyclic dependency with log4j-slf4j-impl in OSGi. Fixes LOG4J2-346.,Bug fix
The log4j-1.2-api module didn't export any packages to OSGi. Fixes LOG4J2-345.,Bug fix
Password data from the NoSQL plugins no longer shows up in cleartext in debug logging. Fixes LOG4J2-605.,Bug fix
A StringIndexOutOfBounds exception could occur during property substitution. Fixes LOG4J2-448. Thanks to X86core.,Bug fix
"StatusLogger was not skipping multiple instances of the FQCN class, causing messages from classes in the Verbose list to be printed. Fixes LOG4J2-597.",Bug fix
Add support for multiple parents to Markers. Fixes LOG4J2-585. Thanks to Bruce Brouwer.,Add support for a new feature
Introduce Java annotation processor as the new plugin pre-caching mechanism. This is available in log4j-core. All custom plugins created before this should be re-built against the current log4j-core. Fixes LOG4J2-595.,Add support for a new feature
Renamed SLF4J logger class to Log4jLogger. Fixes LOG4J2-564.,Maintainability improvement
Rework Level comparison APIs. Fixes LOG4J2-579.,Maintainability improvement
Add org.apache.logging.log4j.Logger.getLevel(). Fixes LOG4J2-576.,Add support for a new feature
Make Blocking the default WaitStrategy for Async Loggers. Fixes LOG4J2-574.,Code redesign
Introduce ExtendedLogger interface to facilitate implementing and extending Loggers. Fixes LOG4J2-555. Thanks to Bruce Brouwer.,Add support for a new feature
SyslogAppenderTest and RFC5424LayoutTest were failing in Java 8. Fixes LOG4J2-560.,Bug fix
Allow spaces around commas in Configuration's package attribute. Fixes LOG4J2-561. Thanks to vibin.,Bug fix
Have Logger API expose a PrintWriter instead of custom LoggerStream. Fixes LOG4J2-547. Thanks to Bruce Brouwer.,Code redesign
Add EncodingPatternConverter to escape newlines and HTML special characters. Fixes LOG4J2-439. Thanks to Bruce Brouwer.,Add support for a new feature
	Allow header and footer to be specified as lookup patterns in PatternLayout. Fixes LOG4J2-496.,Code redesign
	Add equals and hashcode to Log4jLogEvent. Fixes LOG4J2-499.	,Add support for a new feature
SLf4JLogger is now Serializable. Fixes LOG4J2-410. Thanks to Ivlin Zeng.	,Code redesign
Add support for configuration via YAML. Fixes LOG4J2-427. Thanks to Alexander Reelsen.,Add support for a new feature
Add DateLookup and ThreadContextLookup to default lookups. Fixes LOG4J2-378.,Add support for a new feature
Add support to add a LoggerConfig. Document two ways to modify the configuration. Fixes LOG4J2-468.,Add support for a new feature
Rename org.apache.logging.log4j.core.net.SocketServer to TCPSocketServer and refactor with UDP. Fixes LOG4J2-582.,Maintainability improvement
	Update Jackson to 2.3.2 from 2.2.2. Fixes LOG4J2-592.,Update dependency
,
Removed the DataSourceConnectionSource and the <DriverManager> plugin for the JDBC Appender. It is not safe to use. Please use the DataSource or factory connection sources backed by a connection pool.	,Code redesign
Renamed the org.apache.logging.log4j.core.appender.db.nosql.mongo package to org.apache.logging.log4j.core.appender.db.nosql.mongodb.,Maintainability improvement
Renamed the org.apache.logging.log4j.core.appender.db.nosql.couch package to org.apache.logging.log4j.core.appender.db.nosql.couchdb.,Maintainability improvement
(JMX - ObjectNames changed!) Unloading one web application unloads JMX MBeans for all web applications. Fixes LOG4J2-500.,Bug fix
Space Level numbers by 100 instead of 1. Fixes LOG4J2-507.,Bug fix
Fixed bugs where rolled log files were overwritten by RollingFile appender with composite time and size based policies. Fixes LOG4J2-531. Thanks to Geoff Ballinger.,Bug fix
Changed the MongoDBConnection to add a MongoDB encoding hook instead of a decoding hook. Fixes LOG4J2-475. Thanks to Matt Sicker.,Code redesign
	Fixed the JPAAppender's overuse of transactions by connecting (borrowing from pool) on new write internal or on flush. Fixes LOG4J2-489.,Bug fix
Fixed failure of JDBC and JPA appender to properly release database connections by connecting (borrowing from pool) on new write internal or on flush. Fixes LOG4J2-457.,Bug fix
Fixed problem with JDBC and JPA appender connectivity in WebSphere by connecting (borrowing from pool) on new write internal or on flush. Fixes LOG4J2-442.,Bug fix
Ensured the JDBCAppender commits transactions after a single write or a flush of multiple writes. Fixes LOG4J2-438.,Bug fix
Fixed inability to recover from lost database connection in database appenders by connecting (borrowing from pool) on new write internal or on flush. Fixes LOG4J2-407.,Bug fix
(JMX) JMX Client GUI should dynamically update when LoggerContext MBeans are registered/unregistered in MBean server. Fixes LOG4J2-530.,Bug fix
"Stop AsyncLoggerConfig Disruptor thread(s), then AsyncAppender thread(s) first before stopping other appenders. Fixes LOG4J2-511. Thanks to James Pretorius.",Bug fix
"Stop AsyncLoggerConfig Disruptor thread(s), then AsyncAppender thread(s) first before stopping other appenders. Fixes LOG4J2-392. Thanks to ilynaf, Andre Bogus.",Bug fix
"(OSGi) logging.log4j-1.2-api doesn't export the log4j API 1.2. Dependent bundles can not be resolved. Fixes LOG4J2-345. Thanks to Roland Weiglhofer, Matt Sicker.",Bug fix
LocalizedMessage serialization is broken. Fixes LOG4J2-523.,Bug fix
"	Fixed issues with time-based file rollover (monthly, weekly, hourly and every minute). Fixes LOG4J2-385. Thanks to Ace Funk, Porfirio Partida.",Bug fix
"Added a ServletContext attribute that, when set to ""true"", disables Log4j's auto-initialization in Servlet 3.0+ web applications. Fixes LOG4J2-452.",Add support for a new feature
"Exposed Log4j web support interface and methods and the LoggerContext through ServletContext attributes so that threads not affected by filters (such as asynchronous threads) can utilize the LoggerContext. Also updated the Log4j filter so that it supports async. Fixes LOG4J2-512. Thanks to Chandra Sekhar Kakarla, Matt Sicker.",Bug fix
"Created a utility to properly escape backslashes before creating URIs, and changed URI creation to use the utility instead of instantiating URI directly. Fixes LOG4J2-409. Thanks to Frank Steinmann, Thomas Neidhart.",Add support for a new feature
"Changed the Servlet 3.0 auto-initializer to add the filter by class to get around a WebLogic bug. Fixes LOG4J2-344. Thanks to Keir Lawson, Tomasz Wladzinski.",Code redesign
Changed the Servlet 3.0 auto-initializer so that it does nothing in a Servlet 2.5 or older application. This ensures behavioral consistency across containers. This includes additional fixes to abort initialization if a duplicate filter already exists and to check the actual Servlet EFFECTIVE version. Fixes LOG4J2-359. Thanks to Abhinav Shah.,Code redesign
"Switch in log4j-1.2-api Category.getEffectiveLevel has no cases for FATAL, OFF. Fixes LOG4J2-517.",Bug fix
Add support for custom logging levels. Fixes LOG4J2-41. Thanks to Nick Williams.,Add support for a new feature
	(JMX) Unregister all log4j JMX MBeans when the LoggerContext is stopped to allow web application classes to be GC-ed on undeploy. Fixes LOG4J2-406. Thanks to Kerrigan Joseph.,Bug fix
Configuration was being processed twice at startup. Fixes LOG4J2-405.,Bug fix
"ThreadContext now uses plain ThreadLocal by default, unless system property isThreadContextMapInheritable has value ""true"". Fixes LOG4J2-479. Thanks to MK.",Code redesign
Configure properties and setup Interpolator before processing rest of configuration. Fixes LOG4J2-398.,Maintainability improvement
Add Stream interface to Loggers. Fixes LOG4J2-481. Thanks to Matt Sicker.,Add support for a new feature
Update EasyMock to version 3.2. Fixes LOG4J2-490. Thanks to Matt Sicker.,Update dependency
hostName property was not being set until after the first configuration element. Fixes LOG4J2-470.,Bug fix
	Support arrays as sub-elements of a JSON configuration. Fixes LOG4J2-464.,Add support for a new feature
"	(JMX) Fixed MalformedObjectNameException if context name contains '=' or newline characters. Fixes LOG4J2-492. Thanks to Shaddy Baddah, Herlani Junior.",Bug fix
"(OSGi) Fix NPE during shutdown. Fixes LOG4J2-377. Thanks to Roland Weiglhofer, Matt Sicker.",Bug fix
"Fixed documentation for MyApp example application in the Automatic Configuration section Fixes LOG4J2-463. Thanks to Michael Diamond, Matt Sicker.",Documentation
"Fixed error in documentation code example in manual/eventlogging.html Fixes LOG4J2-408. Thanks to Dongqing Hu, Matt Sicker.",Documentation
"Fixed typo in documentation: system property should be log4j2.loggerContextFactory Fixes LOG4J2-451. Thanks to Vinay Pothnis, Matt Sicker.",Documentation
"	(JMX) Fixed issue where log4j2 LoggerContext did not show up in JMX GUI or JConsole. Fixes LOG4J2-443. Thanks to Colin Froggatt, Tudor Har.",Bug fix
Fixed issue where toString methods that perform logging could deadlock AsyncAppender. Fixes LOG4J2-485.,Bug fix
ResolverUtil cannot find packages in file URLs which include the '+' character. Fixes LOG4J2-445. Thanks to Anthony Baldocchi.,Bug fix
	Use the formatted Message in RFC5424Layout for non-StructuredDataMessages. Fixes LOG4J2-430. Thanks to David Gstir.,Bug fix
Set external context when constructing the LoggerContext. Fixes LOG4J2-459.,Bug fix
Cannot load log4j2 config file if path contains plus '+' characters. Fixes LOG4J2-466. Thanks to Jan Tepke.,Bug fix
"	Fix LogEvent to never return null Level, fixes LevelPatternConverter.format may throw NPE. Fixes LOG4J2-462. Thanks to Daisuke Baba.",Bug fix
"Fix LogEvent to never return null Level, fixes ThresholdFilter throws NPE. Fixes LOG4J2-465. Thanks to Daisuke Baba.",Bug fix
Fixed issue where toString methods that perform logging could deadlock AsyncLogger. Fixes LOG4J2-471. Thanks to Anthony Baldocchi.,Bug fix
"Documentation fix: The attribute of Route to refer to an appender is ""ref"" not ""AppenderRef"". Fixes LOG4J2-482. Thanks to Hongdi Ren.",Documentation
Added option to toggle Thread name caching in AsyncLogger. Fixes LOG4J2-467. Thanks to Anthony Baldocchi.,Add support for a new feature
The message and ndc fields are not JavaScript escaped in JSONLayout. Fixes LOG4J2-478. Thanks to Michael Friedmann..,Bug fix
RingBufferLogEvent should return Message timestamp for TimestampMessage messages. Fixes LOG4J2-455. Thanks to Robin Zhang Tao.,Code redesign
NPE in ClassLoaderContextSelector. Fixes LOG4J2-477. Thanks to Tal Liron.,Bug fix
	TimeBasedTriggeringPolicy should use event time millis. Fixes LOG4J2-454. Thanks to Robin Zhang Tao.,Code redesign
BaseConfiguration class does not properly implement Configuration interface. Fixes LOG4J2-472. Thanks to Tal Liron.,Bug fix
"XMLLayout does not include marker name. Fixes LOG4J2-447. Thanks to Jeff Hudren, Mark Paluch, Scott Deboy.",Bug fix
Update Flume Appender to use Flume 1.4.0. Fixes LOG4J2-453.	,Update dependency
"(JMX) Added MBeans for instrumenting AsyncAppenders and AsyncLogger RingBuffers, exposing queue size, remaining capacity and other attributes. Fixes LOG4J2-423.",Add support for a new feature
Resolved memory leak by releasing reference to ThreadLocal when AsyncLogger is stopped. Fixes LOG4J2-323.,Memory improvement
"Resolved memory leak by populating AsyncLoggerConfigHelper ring buffer via EventTranslatorTwoArg, eliminating the need for a ThreadLocal. Fixes LOG4J2-425.",Memory improvement
Create a lookup for resource bundle substitution. Fixes LOG4J2-420.,Add support for a new feature
Fix Event Level / LoggerConfig Level table at the architecture documentation page. Fixes LOG4J2-417.,Bug fix
Format log event time as UNIX time (seconds or milliseconds). Fixes LOG4J2-415.,Maintainability improvement
"	@EnterpriseNumber"" was missing in the ID of structured data when RFC5424Layout is used Fixes LOG4J2-404. Thanks to Kamal Bahadur.",Bug fix
Fixed issue that prevented Log4J from working in Google App Engine. Fixes LOG4J2-379.,Bug fix
Configure FileAppender buffer size. Fixes LOG4J2-401.,Code redesign
Configure RandomAccessFileAppender buffer size. Fixes LOG4J2-402.,Code redesign
Rename package org.apache.logging.log4j.core.appender.rolling.helper to org.apache.logging.log4j.core.appender.rolling.action. Fixes LOG4J2-528.,Maintainability improvement
Resource leak in Flume appender when it cannot create a BerkeleyDB db. Fixes LOG4J2-532.,Memory improvement
PatternLayout option to not output ANSI escape codes if no Console is available. Fixes LOG4J2-413.,Bug fix
,
Renamed FastFileAppender and FastRollingFileAppender to RandomAccessFileAppender and RollingRandomAccessFileAppender. Configurations using the Fast(Rolling)File element no longer work and should be modified to use the (Rolling)RandomAccessFile element. Fixes LOG4J2-317.,Maintainability improvement
"Changed the ""suppressExceptions"" configuration attribute for all Appenders to ""ignoreExceptions"" to avoid confusion with Java 7 suppressed exceptions. Also renamed the Appender#isExceptionSuppressed() method to Appender#ignoreExceptions() to avoid the same confusion. All Appenders by default internally log and then ignore exceptions encountered while logging. Setting ""ignoreExceptions"" to ""false"" on an Appender causes it to allow exceptions to propagate to the caller. You must set ""ignoreExceptions"" to ""false"" for Appenders you are wrapping in the Failover Appender.",Code redesign
"Changed the (relatively new) PatternLayout configuration attribute ""suppressExceptions"" to ""alwaysWriteExceptions"" to more correctly indicate what it does. As such, the meaning of this attribute has reversed (previous ""true""s should become ""false""s, and vice versa). Since this was an undocumented attribute up until now, it's unlikely this change will affect any users.",Code redesign
Fix table of contents generation in pdf. Fixes LOG4J2-226.,Documentation
Allow classpath scheme when specifying configuration file location as a system property. Fixes LOG4J2-395. Thanks to Abhinav Shah.,Add support for a new feature
Initialize PluginManager once during configuration. Move advertisement setup into BaseConfiguration. Fixes LOG4J2-393.,Maintainability improvement
FlumePersistentManager now handles LockConflictExceptions in Berkeley Db. Fixes LOG4J2-391. Thanks to Kamal Bahadur.,Bug fix
Allow the default file rollover strategy to define the compression level. Fixes LOG4J2-399.,Add support for a new feature
Add TLSAppender. Also added missing license headers to several files. Fixes LOG4J2-338. Thanks to Tibor Benke.,Add support for a new feature
Use rollover date when substituting ${date} in the filePattern. Fixes LOG4J2-380.,Code redesign
Added FAQ page to the site. Fixes LOG4J2-253.,Documentation
Add a diagram to the site (FAQ page) that explains when to use which jar. Fixes LOG4J2-362.,Documentation
Centralized reflective use of Reflection#getCallerClass and properly handled its instability in various versions of Java. Fixes LOG4J2-322.,Code redesign
Reset the Configuration if the ClassLoaderContextSelector creates a LoggerContext without a configuration location and then is later provided one. Fixes LOG4J2-293.,Bug fix
Changed the ConfigurationFactory to recognize and properly use the classpath: URI scheme in addition to the classloader: URI scheme. Fixes LOG4J2-293. Thanks to Abhinav Shah.,Code redesign
Changed the Servlet 3.0 auto-initializer so that it does nothing in a Servlet 2.5 or older application. This ensures behavioral consistency across containers. Fixes LOG4J2-359. Thanks to Abhinav Shah.,Code redesign
Add more options to PatternLayout to display more detailed information about a Throwable. Fixes LOG4J2-374. Thanks to Tibor Benke.,Add support for a new feature
[Pattern Layout] Customize level names by length. Fixes LOG4J2-383.,Maintainability improvement
[Pattern Layout] Customize level names to lower-case. Fixes LOG4J2-384.	,Maintainability improvement
Add support for multiple SD-ELEMENTs in a RFC 5424 syslog message. Fixes LOG4J2-355. Thanks to Tibor Benke.,Add support for a new feature
Cleaned up tests and cleared up documentation for the JPA appender following the resolution of EclipseLink issue #412454.,Maintainability improvement
Fixed issue where SMTPAppender did not send mails with error or fatal level without prior info event. Fixes LOG4J2-310. Thanks to Olivier Lemasle.,Bug fix
	Add PatternLayout constructor to Log4j 1.2 bridge for Velocity. Fixes LOG4J2-368.,Add support for a new feature
Match artifact ids with Maven module names. Fixes LOG4J2-333. Thanks to Hervé Boutemy.,Maintainability improvement
Add WebLookup to retrieve information from the ServletContext. Fixes LOG4J2-364. Thanks to David Nault.,Add support for a new feature
JMS appenders send two messages for one append. Fixes LOG4J2-367. Thanks to David Parry.,Bug fix
Double stack trace logging when using %throwable in %style and %highlight. Fixes LOG4J2-319.,Bug fix
Allow Plugins to have aliases. Fixes LOG4J2-360.,Add support for a new feature
	NoSQLAppender using MongoDB provider ignores username and password attributes Fixes LOG4J2-358.,Bug fix
Create a JSON Layout. Fixes LOG4J2-356.,Add support for a new feature
Removed unnecessary generics from Appender interface and implementing classes. Fixes LOG4J2-343. Thanks to Henning Schmiedehausen.,Maintainability improvement
[OSGi] wrong Fragment-Host in manifest files. Fixes LOG4J2-351. Thanks to Roland Weiglhofer.,Bug fix
AsyncLogger errors after multiple calls to LoggerContext.reconfigure(). Fixes LOG4J2-336. Thanks to Andre Bogus.,Bug fix
Give the AsyncAppender thread a more descriptive name for easier debugging/profiling. Fixes LOG4J2-347. Thanks to David Phillips.,Maintainability improvement
	Modified documentation to refer to SLF4J Binding instead of SLF4J Bridge. Fixes LOG4J2-332. Thanks to Hervé Boutemy.,Documentation
Ignore xml:base attributes. Fixes LOG4J2-342.,Bug fix
Insure jars and distributions only have a single License and Notice file. Fixes LOG4J2-309.,Maintainability improvement
Enable XInclude for XML configurations. Fixes LOG4J2-341.	,Code redesign
JPAAppender stops logging because META-INF/log4j-provider.properties is left open. Fixes LOG4J2-320.,Bug fix
FlumePersistentManager's writer thread had high CPU usage. Fixes LOG4J2-335.,Performance improvement
"Removed erroneous check for affected MongoDB records, which always returns zero on inserts. Fixes LOG4J2-331.",Maintainability improvement
Added a BSON Transformer so that MongoDB can persist Log4j events. Fixes LOG4J2-330.,Add support for a new feature
StatusLogger now only creates StatusData objects if they are the appropriate logging level. Fixes LOG4J2-329.,Bug fix
FlumePersistentManager was calling Berkeley DB's count method too frequently. Fixes LOG4J2-328.,Performance improvement
Additional fix to make AsyncAppender threads daemon threads and improve their thread name. Fixes LOG4J2-280.,Bug fix
The slf4j-ext jar is now an optional dependency of the SLF4J bridge. Fixes LOG4J2-165.,Support for external development tool
Allow shutdown hook to be disabled in the configuration. Fixes LOG4J2-318.,Add support for a new feature
RoutingAppender's default Route can now be an appender reference. Fixes LOG4J2-166.,Bug fix
Add JNDILookup plugin. Fixes LOG4J2-313. Thanks to Woonsan Ko.,Add support for a new feature
Add getThrowable method to ThrowableProxy. Fixes LOG4J2-299.,Add support for a new feature
ThrowableProxy no longer extends Throwable. Fixes LOG4J2-216.,Maintainability improvement
Synchronized flush() and close() methods in the XxxFileManager and OutputStreamManager classes. Fixes LOG4J2-311.,Code redesign
"	XML layout improvements (compact vs. pretty, namespace, namespace prefix, root element). Fixes LOG4J2-312.",Maintainability improvement
	Update Java Mail dependency to 1.5.0 from 1.4.7. Fixes LOG4J2-388.,Update dependency
Update JDBC tests to use H2 database 1.3.173 from 1.3.172. Fixes LOG4J2-325.,Update dependency
Update commons-logging to 1.1.3 from 1.1.1. Fixes LOG4J2-366.,Update dependency
Update HSQLDB dependency to 2.3.0 from 2.2.9. Fixes LOG4J2-390.,Update dependency
Clarified which library versions were used in Async Loggers performance test. Fixes LOG4J2-308.,Update dependency
Updated Async Loggers' LMAX Disruptor library from 3.0.1 to 3.2.0. Fixes LOG4J2-307.,Update dependency
Update JSON Jackson library to 2.2.2 from 2.2.1. Fixes LOG4J2-306.,Update dependency
Update Jackson dependency to 1.9.13 from 1.9.11. Fixes LOG4J2-387.,Update dependency
Ease porting from 1.x Logger.getRootLogger(): add LogManager.getRootLogger(). Fixes LOG4J2-305.,Maintainability improvement
Fixed Async Loggers memory leak. Fixes LOG4J2-304.,Memory improvement
"Fixed JDBC, JPA, and NoSQL appenders so that the failover appender properly fails over on error. Fixes LOG4J2-291.",Bug fix
	Improved site by adding quick jump-off page and menu for Javadoc links for all components.,Documentation
Logger.info(Message) Javadoc is incorrect. Fixes LOG4J2-397. Thanks to Yonatan Graber.,Documentation
,
"Improved logging initialization in Servlet containers, especially Servlet 3.0 and newer where Log4j now initializes and deinitializes automatically with no deployment descriptor configuration. Fixes LOG4J2-270.",Maintainability improvement
Added toString methods to ThreadContextStack/Map implementation classes. Fixes LOG4J2-302.,Add support for a new feature
Add printf methods to Logger API. Fixes LOG4J2-301.,Add support for a new feature
WriterThread was ending when no agents are available which caused an OutOfMemoryError. Fixes LOG4J2-300.,Memory improvement
Allow the default status level to be specified as a system property. Fixes LOG4J2-282.,Code redesign
Filter calls from Avro or Flume to be ignored by the FlumeAppender. Fixes LOG4J2-278.,Code redesign
FlumePersistentManager now calls Berkeley DB from threads to avoid encountering interrupts in the application. Fixes LOG4J2-279.,Bug fix
Wasted work in FlumePersistentManager.createManager. Fixes LOG4J2-296.,Bug fix
Wasted work in TestConfigurator.testEnvironment. Fixes LOG4J2-297.,Bug fix
Wasted work in StyleConverterTest.setupClass. Fixes LOG4J2-298.,Bug fix
AsyncLogger threads are now daemon threads and won't prevent the JVM from shutting down anymore. Fixes LOG4J2-280.,Bug fix
Fast(Rolling)FileAppender now correctly handles messages exceeding the buffer size. Fixes LOG4J2-295.,Bug fix
FastRollingFileAppender with TimeBasedTriggeringPolicy now works correctly if append=false. Fixes LOG4J2-271.,Bug fix
FastRollingFileAppender with TimeBasedTriggeringPolicy now works correctly if append=false. Fixes LOG4J2-267.,Bug fix
Fast(Rolling)FileAppender now correctly appends to (does not overwrite) existing file. Fixes LOG4J2-292.,Bug fix
LogManager.getLogger can now be called without a logger name or with a null logger name. Fixes LOG4J2-294.,Code redesign
Upgrade javadoc plugin to 2.9.1 to fix javadoc security issue. Fixes LOG4J2-289.,Update dependency
Update JUnit to 4.11 from 4.7. Fixes LOG4J2-288.,Update dependency
Update test H2 JDBC driver to 1.172 from 1.171. Fixes LOG4J2-286.,Update dependency
Update Jansi jar to 1.11 from 1.9. Fixes LOG4J2-285.,Update dependency
Update Log4j 1 dependency to 1.2.17 from 1.2.16. Fixes LOG4J2-284.,Update dependency
"Update NoSQL dependencies: lightcouch 0.0.6 from 0.0.5, mongodb 2.11.2 from 2.11.1. Fixes LOG4J2-386.",Update dependency
Remove dependency on Apache ORO jar. Fixes LOG4J2-283.,Remove support for external development tool
Wasted work in RollingAppenderSizeTest.testAppender() and others. Fixes LOG4J2-277.,Maintainability improvement
Fix NullPointerException (regression due to fix for LOG4J2-228) Fixes LOG4J2-139.,Bug fix
Include arbitrary message fields in RFC-5424 structured data. Fixes LOG4J2-168. Thanks to Scott Severtson.,Add support for a new feature
FlumeAvroManager fails to notify client of failing event if Flume RPCClient cannot be created. Fixes LOG4J2-275.,Bug fix
Wasted work in UUIDUtil initialization. Fixes LOG4J2-274.,Bug fix
Wasted work in XMLLayout.toSerializable(). Fixes LOG4J2-273.,Bug fix
,
	Allow context parameters in Log4jContextListener to include properties. Fixes LOG4J2-249.,Add support for a new feature
Do not allow a charset on RFC5424Layout - use UTF-8. Fixes LOG4J2-263.,Maintainability improvement
StringFormattedMessage and MessageFormatMessage now will accept a Throwable as their last argument and pass it on. Fixes LOG4J2-242.,Code redesign
Allow custom LogEventFactories. Fixes LOG4J2-243.,Add support for a new feature
Add support for interceptors in the embedded Flume Appender. Fixes LOG4J2-262. Thanks to Edward Sargisson.,Add support for a new feature
Use transaction when batch size is 1. Fixes LOG4J2-269.,Bug fix
Add guid to FlumeEvent headers for non-Map Messages. Fixes LOG4J2-268.,Add support for a new feature
Data buffer is reset in finally clause. Fixes LOG4J2-246.,Bug fix
UDP now sends one event per packet. Fixes LOG4J2-228.,Bug fix
"Method name changes in interface org.apache.logging.log4j.spi.ThreadContextMap: getContext() to getCopy(), get() to getImmutableMapOrNull().",Maintainability improvement
Improve ThreadContext performance with copy-on-write map and stack. Fixes LOG4J2-154.,Performance improvement
"Add missing ""not"" to error message. Fixes LOG4J2-261. Thanks to Edward Sargisson.",Bug fix
Break up core into multiple osgi jars. Fixes LOG4J2-10. Thanks to Timothy Ward.,Code redesign
Remove LoggerContext when LoggerContext is stopped. Fixes LOG4J2-223.,Bug fix
XML layout does not specify charset in content type. Fixes LOG4J2-260.,Bug fix
HTML layout does not specify charset in content type. Fixes LOG4J2-259.,Bug fix
HTML layout does not output meta element for charset. Fixes LOG4J2-258.,Bug fix
XML layout ignores charset for the XML processing intruction's encoding attribute. Fixes LOG4J2-257.,Bug fix
"Multi-byte character strings are now assumed to be in the platform default encoding, not UTF-8. Fixes LOG4J2-255.",Bug fix
Mark OutputStream in OutputStreamManager as volatile. Mark header and footer as final. Fixes LOG4J2-254.,Code redesign
Rewrite Appender was ignoring filters on referenced appenders. Fixes LOG4J2-244.,Bug fix
Avoid EmptyStack exception if getCallerClass and SecurityManager are not available. Fixes LOG4J2-245.,Bug fix
"New JDBC, JPA, and NoSQL database Appenders. Fixes LOG4J2-229. Thanks to Nick Williams.",Add support for a new feature
SocketServer.isActive should be volatile because it is accessed from different threads. Fixes LOG4J2-247.,Code redesign
"Provide configuration information (location, content type, content if possible) via a registered Advertiser. Fixes LOG4J2-251.",Maintainability improvement
,
Logger.getParent() was not returning the correct Logger. Fixes LOG4J2-231.,Bug fix
"Renamed Plugin annotation attribute from ""type"" to ""category"". Fixes LOG4J2-201.",Maintainability improvement
Moved JMX Client GUI classes into separate jmx-gui submodule. Fixes LOG4J2-237.,Maintainability improvement
"Fix: install default root logger if not configured (this is unchanged), but make sure to include configured named loggers. Clarified documentation. Fixes LOG4J2-219. Thanks to Peter DePasquale.",Bug fix
Use OSGi version format in Fragment-Host Fixes LOG4J2-159.,Code redesign
RegexFilter threw a NullPointerException when used as a context-wide filter. Fixes LOG4J2-234.,Bug fix
Add support for interpolating Environment variables when processing the configuration. Fixes LOG4J2-192.,Add support for a new feature
"Removed dependency on tools jar from core module, made jconsole dependency optional. Fixes LOG4J2-235. Thanks to Sebastian Oerding.",Remove support for external development tool
Fixed link to log4j-user mailing list. Fixes LOG4J2-233.,Documentation
Improved error reporting when misconfigured. Fixes LOG4J2-230. Thanks to Wojciech Zaręba.,Maintainability improvement
Disruptor will now shutdown during Tomcat shutdown. Fixes LOG4J2-222. Thanks to Steven Yang.,Code redesign
Renamed AsynchAppender to AsyncAppender. Plugin name became Async (was Asynch).,Maintainability improvement
Removed CheckStyle false positives for NewlineAtEndOfFile and whitespace following '*' at end of line in javadoc.,Performance improvement
Moved Clock interface to package org.apache.logging.log4j.core.helpers.,Maintainability improvement
Documentation updates to clarify use and impact of location in pattern layouts. Fixes LOG4J2-225.,Documentation
The FlumeAppender failed to start if the Flume RPCClient could not connect to any Flume agents. Fixes LOG4J2-224.,Bug fix
Fix LoggerContext start and stop to eliminate IllegalStateException and NoClassDefFound errors. Fixes LOG4J2-223.,Bug fix
Remove hundreds of compiler warnings. Fixes LOG4J2-221. Thanks to Nick Williams.,Performance improvement
Various small documentation fixes. Fixes LOG4J2-215.,Documentation
Ensure PluginManager streams are always closed. Fixes LOG4J2-217. Thanks to Fabien Sanglard.,Bug fix
,
Fix deadlock in SocketAppender. Added option to not wait for socket reconnect. Fixes LOG4J2-205.,Bug fix
Add JMX support. Fixes LOG4J2-207. Thanks to Remko Popma.,Add support for a new feature
Removing extra spaces in entry and exit method output. Fixes LOG4J2-211. Thanks to Nick Williams.,Performance improvement
Async documentation update. Fixes LOG4J2-214. Thanks to Remko Popma.,Documentation
"Loggers without a ""."" had no parent logger. Fixes LOG4J2-212.",Bug fix
Move async subproject into core. Fixes LOG4J2-208. Thanks to Remko Popma.,Maintainability improvement
Call LoggerContext.stop when the application is shutdown. Fixes LOG4J2-212.,Bug fix
MapMessage was not enclosing key value in quotes when generating XML. Fixes LOG4J2-210. Thanks to Arkin Yetis.,Bug fix
FlumeAvroManager now uses Flume RPCClient. Fixes LOG4J2-198.,Code redesign
	FlumeAvroManager now uses Flume RPCClient. Fixes LOG4J2-196.,Code redesign
Use the Maven group ID org.apache.logging.log4j for all artifacts. Fixes LOG4J2-207.,Maintainability improvement
	Add tag library. Fixes LOG4J2-187. Thanks to Nick Williams.,Add support for a new feature
Unit tests now create files in the target directory. Fixes LOG4J2-195. Thanks to Remko Popma.,Bug fix
RollingFastFileAppender (in log4j-async) did not roll over. Fixes LOG4J2-193. Thanks to Remko Popma.,Bug fix
Highlight subprojects in sub-navigation. Fixes LOG4J2-199. Thanks to Remko Popma.,Maintainability improvement
