Changes,General Category
"AppCompatDialog now correctly sets the LifecycleOwner, SavedStateRegistryOwner, and OnBackPressedDispatcherOwner on the dialog's decor view via the ViewTree APIs, fixing issues when hosting a ComposeView within an AppCompatDialog. AppCompat now depends on Activity 1.7.0. (Ib28ab, b/261314581)",Bug fix
Significantly improve the performance of SupportMenuInflater (I0b087),Performance improvement
,
Fixed a memory leak in AppCompatDelegate.getLocaleManagerForApplication() (44b57fd),Memory improvement
AppCompat now depends on Fragment version 1.5.4 (I54dcd),Update dependency
,
"AppCompatActivity now sets the ViewTreeOnBackPressedDispatcherOwner so that it is possible to retrieve the dispatcher from the view. (I1a115, b/235416503)",Bug fix
Locale.getDefault() now returns the system locale after a cold start (I6a94b),Code redesign
LinearLayoutCompat now preserves margin layout params (Id2af4),Bug fix
,
Fixed a memory leak in AppCompatDelegate.getLocaleManagerForApplication() (44b57fd),Memory improvement
,
Added support for customizing application locales. See AppCompatDelegate.setApplicationLocales(LocaleListCompat) for more information. Provides backward compatibility for the new per-language preferences API available in Android 13.,Add support for a new feature
"Nullability updates to align with Android 13 (Tiramisu, API level 33) SDK.",Support for external development tool
"Added DrawableWrapper, DrawableContainer, and StateListDrawable compat classes to public API surface",Add support for a new feature
,
"AppCompatActivity now sets the ViewTreeOnBackPressedDispatcherOwner so that it is possible to retrieve the dispatcher from the view. (I1a115, b/235416503)",Add support for a new feature
"Reverted a bug fix that overwrote the configuration passed to onConfigurationChanged, which had caused issues for tests that injected their own custom configurations through onConfigurationChanged.",Bug fix
,
"Move DrawableWrapper, DrawableContainer, and StateListDrawable compat classes to public API. (I37f3e, b/227789566)",Code redesign
Introduces a new factory for async layout inflater. (Ia657b),Add support for a new feature
"Toolbar will now call onPrepareMenu() before the menu is shown instead of unconditionally when the menu is created. (I2a58d, b/232206677)",Bug fix
AppCompat now explicitly depends on Lifecycle 2.5.1 and SavedState 1.2.0. (I7e3e2),Update dependency
Added support for back invoked callback to AppCompatDelegate and the AppCompat-provided Toolbar implementation. (I24062),Add support for a new feature
"Finalize AppCompat APIs for 1.5.0-beta01 (I2a43d, b/236866227)",Update dependency
"Finalize AppCompat APIs for 1.5.0-beta01 (I2a43d, b/236866227)",Update dependency
,
Nullability updates to align with finalized API surface in Tiramisu Beta 3 SDK,Support for external development tool
minCompileSdk is now 33 to align with Tiramisu Beta 3 SDK,Support for external development tool
,
Add an API to override SwitchCompat width restriction for use by MDC-Android,Add support for a new feature
Avoid managed configuration when config changes outside of attachBaseConfig,Bug fix
,
Support for app-wide custom language selection via AppCompatDelegate.setApplicationLocales(). Delegates to platform implementation on API 33 and above.,Add support for a new feature
,
Added support for customizing application locales. See AppCompatDelegate.setApplicationLocales(LocaleListCompat) for more information. Provides backward compatibility for the new per-language preferences API available in Android 13.,Add support for a new feature
,
AppCompat now explicitly depends on Lifecycle 2.5.1 and SavedState 1.2.0. (I7e3e2),Update dependency
,
"This stable version includes improvements to night mode stability, bug fixes and compound drawable tinting support for AppCompat-backed text widgets, and improvements to API usability. See previous 1.5.0-series release notes for a detailed list of changes.",Add support for a new feature
,
"Fixes an issue where AppCompat’s context wrapper reused the application context's backing resource implementation, resulting in uiMode being overwritten on the application context. (Idf9d5)",Bug fix
,
Add an overridable flag to disable the default switch width adjustment. (I37cb7),Add support for a new feature
Add @FloatRange annotation to thumb position getter API (If524c),Add support for a new feature
Add missing nullability annotations to AnimatedStateListDrawableCompat (Ieb4ec),Add support for a new feature
"Finalize AppCompat APIs for 1.5.0-beta01 (I2a43d, b/236866227)",Update dependency
Changing className value for ActionMenuItemView to treat it as a Button (I5ee1c),Code redesign
,
Added a new API to expose switch thumb's position to subclasses (I9bfb4),Add support for a new feature
Updated nullability to match Tiramisu DP2 (I0cbb7),Update dependency
"Backported compound drawable tinting to TextView-derived widgets (Idf98c, b/165822337)",Code redesign
"AppCompatDialog now extends ComponentDialog for compatibility with OnBackPressedDispatcher (Id9b91, b/217620781)",Code redesign
"SearchView.onQueryRefine() is now protected visibility to allow overrides (I6cce0, b/212882845)",Code redesign
"AppCompat Toolbar now calls MenuHostHelper's onPrepareMenu() API. (I9b9b5, b/227376894)",Code redesign
"AppCompatEditText, AppCompatAutoCompleteEditText, AppCompatMultiAutoCompleteEditText will no longer reset clickable or longClickable in the constructor when set in XML (Ic5066, b/221094907)",Code redesign
"AppCompatEditText, AppCompatAutoCompleteTextView, and AppCompatMultiAutoCompleteTextView will not call overridden setKeyListener during the constructor (I5c13a, b/208480173)",Code redesign
"Appcompat will not wrap instances of NumberKeyListener passed to setKeyListener, allowing TextView to correctly configure the locale on NumberKeyListeners (Ibf113, b/207119921)",Code redesign
"Fixed issue with all NumberKeyListener subclasses introduced in AppCompat 1.4.0 that allowed unexpected characters such as punctuation to be input (Iede7a, b/207119921)",Bug fix
,
"Fix crash where AppCompatDelegateImpl made an internal call to ensureSubDecor before the action bar was created (aosp/2048349, b/226648941)",Bug fix
,
"AppCompatEditText, AppCompatAutoCompleteTextView, and AppCompatMultiAutoCompleteTextView will not call overriden setKeyListener during the constructor. (I5c13a, b/208480173)",Code redesign
"Emoji2 will not wrap instances of NumberKeyListener, allowing the locale to be configured by textview.",Code redesign
"Appcompat will not wrap instances of NumberKeyListener passed to setKeyListener, allowing TextView to correctly configure the locale on NumberKeyListeners. (Ibf113, b/207119921)",Code redesign
"Fixes issue with all NumberKeyListener subclasses introduced in appcompat 1.4.0 that allowed unexpected characters such as punctuation to be input (b/207119921) (Iede7a, b/207119921)",Bug fix
,
Library is now targeting Java 8 language level,Support for external development tool
Updatable emoji support is enabled by default via the androidx.emoji2 library,Support for external development tool
Improved attribute inspection in Android Studio’s Layout Inspector (I02d55),Performance improvement
"Added support for nested tinted resources and vector drawables in AppCompat resource loading backports. Note, however, that this means apps cannot override getDrawable() on a custom Resources object when backports are enabled. (Ia6b03, b/176129022)",Add support for a new feature
Backported tintable background and check mark for CheckedTextView (I8575c),Code redesign
,
AndroidX AppCompat Toolbar is now a MenuHost and can manage MenuProviders. (I5cd95),Code redesign
"Fixed AppCompatProgressBar handling of layer-list progress bars (I6ece3, b/142004509)",Bug fix
"Correctly retain android:digits in AppCompatEditText, this fixes bug 193047889 introduced in AppCompat 1.4.0-alpha03. (I4b4fc, b/193047889)",Code redesign
"Integrated OnReceiveContentListener SDK and support lib APIs. (Ic6914, b/173814913)",Code redesign
,
Library is now targeting Java 8 language level,Update dependency
"Add emoji2 support for more TextView subclasses (AppCompatMultiAutoCompleteTextView, AppCompatAutoCompleteTextView, AppCompatRadioButton, AppCompatCheckBox).",Add support for a new feature
Added an API to configure an InputConnection to use View.performReceiveContent to handle IME calls to InputConnection.commitContent. (I3a2ad),Add support for a new feature
Add support for EmojiCompat to AppCompatMultiAutoCompleteTextView (Ifece0),Add support for a new feature
Add support for EmojiCompat to AppCompatAutoCompleteTextView (Ia1f4b),Add support for a new feature
Add support for EmojiCompat to AppCompatRadioButton (If08af),Add support for a new feature
Add support for EmojiCompat to AppCompatCheckBox (I2b3bc),Add support for a new feature
"Allow null KeyListener in AppCompatEditText. This reverses the non-null annotation that was added to AppCompatEditText in 1.4-alpha01 and restores the previous behavior when passed null. (I21482, b/189559345)",Code redesign
"Add PopupMenu.setForceShowIcon for parity with platform APIs (I43bb3, b/182789798)",Add support for a new feature
"Fix bug in AppCompatEditText that will reset the inputType specified in XML to remove variations. This bug was introduced in AppCompat 1.4.0-alpha01. (I9df36, b/191061070)",Bug fix
,
"Added AppCompatDialogFragment constructor that takes a layout ID (Icbf22, b/188119987)",Add support for a new feature
Improved layout inspector support (I02d55),Performance improvement
"Renamed package in emoji2-views-helper to androidx.emoji2.viewsintegration. This is a breaking change for AppCompat 1.4.0-alpha01, and apps must ensure AppCompat dependency is updated to use the new emoji2 version. (Ie8397)",Code redesign
"Fixed issue where stopped activities did not receive configuration changes from AppCompat-instrumented night mode changes. (I8fa8f, b/188681415)",Bug fix
"Fixed bug in AppCompatEditText which would cause views to be focusable even when android:focusable=""false"" was specified in the xml (bug introduced in AppCompat 1.4.0-alpha01) (Ib9412)",Bug fix
,
"Integrated EmojiCompat support to a variety of AppCompat widgets (Id409b, If7a1a, Ic262d, Ib5f4a, I4fb3c)",Code redesign
"Added support for nested tinted resources and vector drawables in AppCompat resource loading backports. Note, however, that this means apps cannot override getDrawable() on a custom Resources object when backports are enabled. (Ia6b03, b/176129022)",Add support for a new feature
Improved layout inspector support (I6d771),Maintainability improvement
"Fixed a scenario where calling setSupportActionBar after setting the window callback would overwrite the callback. (Ie43ee, b/186791590)",Bug fix
Added a workaround for an issue on SDKs 29 and 30 where ColorStateListDrawable resources cloned from the drawable cache don't load a default color until they receive a state change. (Iedb4b),Bug fix
"Avoid NPE when handling null custom selection action mode callbacks on AppCompat-backed views. (I033c7, b/173435375)",Code redesign
From AppCompat 1.5.0: AppCompat now depends on Fragment Fragment 1.3.4. (I13089),Update dependency
From AppCompat 1.5.0: AppCompat now depends on Activity 1.2.3. (I815b7),Update dependency
From AppCompat 1.5.0: AppCompat now depends on Lifecycle 2.3.1. (Ia75a1),Update dependency
Backport tintable background and check mark for CheckedTextView (I8575c),Add support for a new feature
,
"AppCompat now depends on Activity 1.2.4 and Fragment 1.3.6, making the fixes from those releases included by default when using AppCompat 1.3.1. (I8fbec)",Update dependency
,
Fixed propagation of android:theme attributes across <include>d layouts on pre-Lollipop devices,Bug Fix
Reduced library size by converting many PNG resources to VectorDrawables,Code redesign
Added support for drag-and-drop events to AppCompatEditText with OnReceiveContentListener,Add support for a new feature
Updated to support changes to Android 11 window inset handling,Update dependency
Added support for RTL in menu items with icons,Add support for a new feature
Added support for inserting rich content (ex. pasting an image) in AppCompatEditText,Add support for a new feature
appcompat updated many of its transitive dependencies to support new functionality and fixes:Updated from Fragment 1.1.0 to Fragment 1.3.4; Updated from Activity 1.0.0 to Activity 1.2.3; Updated from Lifecycle 2.0.0 to Lifecycle 2.3.1.; Updated from Core 1.3.0 to Core 1.5.0,Update dependency
,
Prevents permissions from being revoked prematurely when handling IME content insertion,Bug fix
"AppCompat now depends on Activity 1.2.2, Fragment 1.3.2, and Lifecycle 2.3.1. (Ia75a1)",Update dependency
Fixed propagation of android:theme attribute across <include>d layouts on pre-Lollipop devices (Simon Bergner at Opera),Bug fix
,
Theme-level action mode drawables have been replaced with vector sources. This may cause slight changes in the visual appearance of individual icons. (I741a6),Code redesign
"Integrated drag-and-drop (drop events) in AppCompatEditText with OnReceiveContentListener. (Ib26c9, b/175343405)",Code redesign
"Updated OnReceiveContentListener and related APIs. See androidx.core library changes for more details. (Ib4616, b/173814913)",Code redesign
"Moved widget.RichContentReceiverCompat to view.OnReceiveContentListener. (Ifdab7, b/173814913)",Code redesign
APIs to supply and retrieve initial surrounding text have been backported to EditorInfoCompat. They allow IME apps to avoid additional IPC latency. (Ie3809),Add support for a new feature
,
AppCompatRatingBar PNG drawables have been replaced with vector sources. This may cause slight changes in the visual appearance of individual stars. (I6b99d),Code redesign
Update WindowInsetsCompat to Android 11 APIs (I3df9e),Update dependency
Support RTL in menu items with icons (I2f5c5),Update dependency
AppCompat has updated its dependency from Fragment 1.1.0 to Fragment 1.3.0-alpha08. It is strongly recommended to read through the Fragment 1.2.0 release notes to understand the major changes introduced in the previous Fragment release.,Update dependency
AppCompat has updated its dependency from Activity 1.0.0 to Activity 1.2.0-alpha08. It is strongly recommended to read through the Activity 1.1.0 release notes to understand the major changes introduced in the previous Activity release.,Update dependency
AppCompatActivity now uses the OnContextAvailableListener API introduced in Activity 1.2.0-alpha08 to set up the AppCompatDelegate. Any listeners added to subclasses of AppCompatActivity will run after this listener. (I513da),Update dependency
,
Add a new Lint rule to flag calls to setActionBar on activities that extend AppCompatActivity,Add support for a new feature
"Added support for ViewTreeLifecycleOwner from Lifecycle 2.3.0-alpha01, ViewTreeViewModelStoreOwner from Lifecycle 2.3.0-alpha03, and ViewTreeSavedStateRegistryOwner from SavedState 1.1.0-alpha01 when using a View within an AppCompatActivity. (b/151603528, aosp/1300264)",Add support for a new feature
Add common API for inserting rich content (e.g. pasting an image). The new callback provides a single API that apps can implement to support the different ways in which rich content may be inserted. For now the API is only added to AppCompatEditText and will be invoked for the following code paths:paste from the clipboard content insertion from the IME (InputConnection.commitContent) (I22bf7),Add support for a new feature
From AppCompat 1.2.0-rc01: AppCompat no longer calls onMenuOpened() with a null menu. (b/142843126),Code redesign
Correctly resolve text link and hint colors on older devices when TextViewCompat.setTextAppearance is called with a text appearance style that has color state lists that reference theme color attributes (b/154702995),Bug fix
,
"Fixed support for Configuration override use cases, including custom locales and font scales. See here for an example of how to correctly implement overrides using appcompat:1.2.0.",Bug fix
"Deprecated AppCompatDelegate.attachBaseContext(). If you are calling or overriding this method, use AppCompatDelegate.attachBaseContext2() instead.",Deprecate functionality
"Deprecated CollapsibleActionView. This interface is no longer needed, use the platform-provided android.view.CollapsibleActionView interface.",Deprecate functionality
,
"Fixed an issue related to night mode where calling AppCompatDelegate.setDefaultNightMode from a dialog would occasionally fail to recreate activities and apply the new mode. (aosp/1348308, b/158923881)",Bug fix
,
AppCompatDelegate.setLocalNightMode has been marked as requiring SDK version 17 or higher due to a platform issue with configuration changes leaking between Activities on earlier SDKs,Update dependency
AppCompatDelegate.setLocalNightMode may now be called prior to Activity.attachBaseContext,Code redesign
Fixed ActionBarOverlayLayout inset consumption which was incorrectly using the cached insets,Bug fix
AppCompat no longer calls onMenuOpened() with a null menu. (b/142843126),Code redesign
,
"Added the following new lint rules that will flag incorrect usages of AppCompat in the following scenarios:
Loading color state lists: suggests using ContextCompat and AppCompatResources APIs for backward compatibility
Loading drawables: suggests using ContextCompat and ResourcesCompat APIs for backward compatibility
Using color state lists with alpha attribute: flags missing android:alpha attribute that will lead to incorrect appearance on some platform versions
Tinting image views: flags not using app:tint that will lead to incorrect appearance on older platform versions
Using compound drawables and tinting on text views: suggests using compat attributes and APIs for backward compatibility",Add support for a new feature
Fixed an issue where ActionBarOverlayLayout (window decor action) was not dispatching WindowInsets correctly.,Bug fix
Fixed issues in tinting drawables and text appearance on older versions of the platform,Bug fix
Fixed an issue where androidx.appcompat:appcompat:1.1.0 crashes webview when webview is long pressed (b/141351441),Bug fix
Implemented fixes for issues with base context manipulation and retrieving system services during activity start up,Bug fix
,
Fixed an issue where the action mode status guard mistakenly extends into the navigation bar and has the wrong color (Ia4a09),Bug fix
Fix issue where stopped Activities were not resuming on API Level 23 and below (I45201),Bug fix
,
Fixed issue where appcompat 1.1.0 crashes webview when long pressed (b/141351441),Bug fix
Fixed drawable tinting on TextView relative to compound drawables on API Level 23 (aosp/1172194),Bug fix
Ensured the base context is always a wrapper (aosp/1194355),Code redesign
Added some improvements to be more clever when modifying the base context configuration (aosp/1204543),Add support for a new feature
Disabled createConfigurationContext() for Robolectric (aosp/1186218),Code redesign
,
Calls to PackageManager.getActivityInfo don't crash anymore under strict mode with boot-aware checks enabled,Bug fix
Fixes for tinting drawables on AppCompatButton,Bug fix
Fixes for tinting and text appearance on older versions of the platform,Bug fix
,
"Dark Mode Improvements: MODE_NIGHT_AUTO and switching of dark/light based on the current time is now deprecated. Considering using an explicit setting, or MODE_NIGHT_AUTO_BATTERY.",Maintainability improvement
Activity 1.0: AppCompatActivity now transitively extends from ComponentActivity from Activity 1.0.0 via Fragment 1.1.0. See the associated release notes for information on the changes in each library.,Code redesign
"AppCompatActivity LayoutId constructor: Subclasses of AppCompatActivity can now optionally call into a constructor on AppCompatActivity that takes an R.layout ID, indicating the layout that should be set as the content view as an alternative to calling setContentView() in onCreate(). This does not change the requirement that your subclass have a no-argument constructor.",Code redesign
,
DayNight now honors configChanges correctly (aosp/981105),Code redesign
Only call onConfigurationChanged on started Activities (aosp/987483),Code redesign
,
Make sure we clean up receivers in AppCompatDialogs (aosp/959376),Code redesign
Add support for buttonGravity=center_vertical on Toolbar (b/130361721),Add support for a new feature
Fix spinner horizontal offset (b/79477181),Bug fix
,
,
setDefaultNightMode() now automatically recreates any started activities.,Add support for a new feature
Various fixes to DayNight mode,Bug fix
Invalidate outline on any background change in ActionBar,Bug fix
Fix spinner widget scroll,Bug fix
Fix custom set window backgrounds being overridden in AlertDialog,Bug fix
,
Added new ThemeOverlay.AppCompat.DayNight family of themes. These should be used when using the DayNight feature.,Add support for a new feature
"AppCompatActivity now contain a second constructor that takes a @LayoutRes int, which replaces the previous behavior of annotating your AppCompatActivity class with @ContentView. This approach works in both app and library modules. (b/128352521)",Add support for a new feature
Pinned internal dependencies to stable versions where possible,Bug fix
Fixed AppCompatSpinnerscrolling in dropdown mode )b/124274573),Bug fix
Only calls applyOverrideConfiguration() if required for DayNight,Code redesign
,
"The new appcompat-resources library contains APIs that allow apps to load and tint drawables (including vector drawables) on older versions of the platform. This is the same functionality that was previously part of the appcompat module, but is now available without the overhead of the full appcompat backport of Material design that includes widgets, dialogs, night mode etc.",Add support for a new feature
Major fixes to DayNight mode support,Bug fix
New MODE_NIGHT_AUTO_BATTERY option for DayNight mode,Add support for a new feature
Drawable tinting in AppCompatTextView,Add support for a new feature
Toolbar overflow can now be styled with themed color state lists,Add support for a new feature
Menu icons can now use colors that reference theme attributes,Add support for a new feature
The new app:menu attribute can be set on a Toolbar to provide the menu content at inflation time,Add support for a new feature
Fixed default tint mode on ImageView on version 21,Bug fix
Fixed spinner popup incorrect dismissal on device rotation,Bug fix
Fixed DayNight does not respect configChanges in manifest,Bug fix
Fixed switching to MODE_NIGHT_FOLLOW_SYSTEM doesn't work (b/111345020),Bug fix
Fixed WebView resets DayNight Resources (b/37124582),Bug fix
,
Extracted resource-specific drawable handling into a hook (aosp/870976),Maintainability improvement
Allowed Toolbar titleTextColor and subtitleTextColor to use a ColorStateList and added ColorStateList overloads of the setTitleTextColor and setSubtitleTextColor methods (aosp/867489),Code redesign
Fixed fontFamily not working on pre API 24 (aosp/807054),Bug fix
Fixed bug where textFontWeight did not work when an activity extends from AppCompatActivity (aosp/847640),Bug fix
Fixed bug that caused the title text on the spinner widget popup (when using dialog mode) to not use the font specified in the fontFamily (aosp/789994),Bug fix
Fix bug that prevented widgets AppCompatCheckBox and AppCompatRadioButton from be able to change the background tint (aosp/825160),Bug fix
Fixed bug where AppCompat did not override android: list styles (aosp/862350),Bug fix
,
"AppCompatTextView now supports app:drawableLeftCompat, app:drawableTopCompat, app:drawableRightCompat, app:drawableBottomCompat, app:drawableStartCompat and app:drawableEndCompat compound drawables, supporting backported drawable types such as VectorDrawableCompat.",Code redesign
AppCompatCheckBox and AppCompatRadioButton’s default drawables now animate check state changes.,Code redesign
"aosp/740385: ActionBarOverlayLayout now implements NestedScrollingParent2 and NestedScrollingParent3, enabling it to facilitate the latest functionality in nested scrolling 3. If developer code currently overrides ActionBarOverLayLayout.onNestedScroll(View, int, int, int, int), it will likely no longer be called and ActionBarOverLayLayout.onNestedScroll(View, int, int, int, int, int, int[]) should be overridden instead.",Code redesign
,
Fixed bug where PrecomputedTextCompat would crash when used with RTL AppCompatTextView. b/113070424,Bug fix
,
AnimatedStateListDrawableCompat provides animated transitions between drawable states.,Add support for a new feature
,
Pull request #1687: Mark ThreadGroups created by FailOnTimeout as daemon groups,Bug fix
Pull request $1691: Only create ThreadGroups if FailOnTimeout.lookForStuckThread is true.,Bug fix
Pull request #1654: Fix for issue #1192: NotSerializableException with AssumptionViolatedException,Bug fix
,
Security fix: TemporaryFolder now limits access to temporary folders on Java 1.7 or later,Security improvement
Pull request #1669: Make FrameworkField constructor public,Code redesign
,
Pull request #1054: Improved error message for assertArrayEquals when multi-dimensional arrays have different lengths,Maintainability improvement
Pull request #1154 and #1504 Add assertThrows,Add support for a new feature
-,Maintainability improvement
Pull request #1300: Show contents of actual array when array lengths differ,Code redesign
Pull request #1315: assertArrayEquals shouldn't throw an NPE when test suites are compiled/run across versions of junit,Bug fix
Pull request #1150: Deprecate Assert#assertThat,Deprecate functionality
Pull request #1037: BlockJUnit4ClassRunner#createTest now accepts FrameworkMethod,Code redesign
Pull request #1082: Ensure exceptions from BlockJUnit4ClassRunner.methodBlock() don't result in unrooted tests,Bug fix
Pull request #1286: Provide better feedback to the user in case of invalid test classes,Maintainability improvement
Pull request #1252: Restore ability use ParentRunner lost in separate class loader,Bug fix
Pull request #1377: Description produced by Request.classes() shouldn't be null,Bug fix
Issue #1290: Tests expecting AssumptionViolatedException are now correctly marked as passed,Bug fix
Pull request #1465: Provide helpful message if parameter cannot be set.,Maintainability improvement
Issue #1329: Support assumptions in @Parameters method,Bug fix
Pull request #1449: Parameterized runner reuses TestClass instance,Memory improvement
"Pull request #1130: Add Ordering, Orderable and @OrderWith",Add support for a new feature
Pull request #1408: Suites don't have to be public,Bug fix
Pull request #1638: Never reorder classes annotated with @FixMethodOrder,Bug fix
Pull request #1044: Strict verification of resource deletion in TemporaryFolder rule,Add support for a new feature
Issue #1100: StopWatch does not need to be abstract.,Code redesign
Issue #1157: TestName: Make 'name' field volatile,Code redesign
Issue #1223: TemporaryFolder doesn't work for parallel test execution in several JVMs,Bug fix
Pull request #1305: Add ErrorCollector.checkThrows,Add support for a new feature
Issue #1303: Prevent following symbolic links when deleting temporary directories,Bug fix
Issue #1295: Javadoc for RuleChain contains errors,Documentation
Pull request #1313: RuleChain.around() rejects null arguments,Bug fix
Pull request #1397: Change generics on ExpectedException.expectCause(),Bug fix
Pull request #1443: ExpectedException.isAnyExceptionExpected() is now public,Bug fix
Pull request #1395: Wrap assumption violations in ErrorCollector,Bug fix
-,Bug fix
Pull request #1402: TemporaryFolder.newFolder(String) supports paths with slashes,Bug fix
Pull requests #1406 (part 1) and #1568: Improve error message when TemporaryFolder.newFolder(String) fails,Bug fix
-,Maintainability improvement
Pull request #1406 (part 2): TemporaryFolder.newFolder(String...) supports path separator,Bug fix
Pull request #1406 (part 3): TemporaryFolder.newFolder(String...) fails for empty array,Bug fix
Pull request #1335: Fix ExternalResource: the test failure could be lost,Bug fix
Pull request #1435: @BeforeParam/@AfterParam method annotations for Parameterized tests.,Add support for a new feature
Pull request #1460: Handle assumption violations in the @Parameters method for Parameterized tests.,Bug fix
Pull request #1445 and Pull request #1335: Declarative ordering of rules.,Add support for a new feature
-,Deprecate functionality
-,Documentation
Pull request #1517: Timeout rule destroys its ThreadGroups at the end,Bug fix
Pull request #1633: Deprecate ExpectedException.none(),Deprecate functionality
Pull request #1413: Ignore bridge methods when scanning for annotated methods,Bug fix
Pull request #1612: Make @ValidateWith only applicable to annotation types,Bug fix
Pull request #1118: Add suite start/finish events to listener,Add support for a new feature
Pull request #1359: Fixes how MultipleFailureException stack traces are printed,Code redesign
Pull request #1376: Initializing MultipleFailureException with an empty list will now fail the test,Bug fix
Pull request #1371: Update MultipleFailureException.assertEmpty() to wrap assumption failure,Code redesign
Issue #1290: @Test(expected = AssumptionViolatedException.class) passes for AssumptionViolatedException,Bug fix
Pull request #1227: Behave better if the SecurityManager denies access to junit.properties,Bug fix
"Pull request #1571: Set ""junit"" as ""Automatic-Module-Name""",Code redesign
Pull request #1028: Trim stack trace,Code redesign
Pull request #1403: Restore CategoryFilter constructor,Code redesign
Pull request #1530: Add Result#getAssumptionFailureCount,Add support for a new feature
Pull request #1292: Fix ResultMatchers#hasFailureContaining,Bug fix
Pull request #1380: Fix Assume#assumeNotNull,Bug fix
Pull request #1557: MaxCore always closes stream of history file,Bug fix
,
Pull request #611: Assert.assertNotEquals() for float parameters,Add support for a new feature
Pull request #632: Assert.assertArrayEquals() for boolean[] parameters.,Add support for a new feature
Pull request #918: Avoid potentially expensive reflection-based loop in Assert.assertArrayEquals(),Performance improvement
Pull request #647: Support command-line --filter param.,Add support for a new feature
Pull request #763: Allow custom test runners to create their own TestClasses and customize the scanning of annotations.,Add support for a new feature
Pull request #817: Support for context hierarchies,Add support for a new feature
Pull request #716: Fix annotation collection from superclasses of JUnit3 tests.,Bug fix
Pull request #625 (commit 72af03c49f): Make RunNotifier code concurrent.,Bug fix
Pull request #684: Adding AnnotationValidator framework and validation checks for @Category.,Add support for a new feature
Pull request #583: Pull request #720: Fix handling of AssertionError and AssumptionViolatedException in ExpectedException rule.,Bug fix
-,Bug fix
Pull request #818: Pull request #993: External version of AssumptionViolatedException,Bug fix
-,Maintainability improvement
Pull request #985: Change AssumptionViolatedException to not set the cause to null; fixes issue #494,Bug fix
Pull request #542: Customized failure message for ExpectedException,Add support for a new feature
Pull request #1013: Make ErrorCollector#checkSucceeds generic,Code redesign
Pull request #823: Throw TestFailedOnTimeoutException instead of plain Exception on timeout,Bug fix
Pull request #742: Pull request #986: Timeout exceptions now include stack trace from stuck thread (experimental),Add support for a new feature
Pull request #544: New constructor and factories in Timeout,Add support for a new feature
-,Add support for a new feature
-,Deprecate functionality
Pull request #549: fixes for #544 and #545,Bug fix
-,Bug fix
Pull request #876: The timeout rule never times out if you pass in a timeout of zero.,Bug fix
Pull request #702: Support more return types for the @Parameters method of the Parameterized runner,Add support for a new feature
Pull request #773: Allow configurable creation of child runners of parameterized suites,Add support for a new feature
Pull request #552: Pull request #937: Stopwatch rule,Add support for a new feature
Pull request #932: Allow static @Rules also annotated with @ClassRule,Code redesign
Pull request #956: DisableOnDebug rule,Add support for a new feature
Pull request #974: Updated TemporaryFolder.newFolder() to give an error message if a path contains a slash.,Bug fix
Pull request #1015: Methods annotated with Rule can return a MethodRule.,Bug fix
Pull request #1020: Added validation that @ClassRule should only be implementation of TestRule.,Bug fix
Pull request #1021: JavaDoc of TemporaryFolder: folder not guaranteed to be deleted.,Documentation
Pull request #529: @DataPoints-annotated methods can now yield null values,Bug fix
Pull request #572: Ensuring no-generic-type-parms validator called/tested for theories,Bug fix
Pull request #607: Improving theory failure messages,Maintainability improvement
Pull request #601: Allow use of Assume in tests run by Theories runner,Bug fix
Pull request #623: Ensure data points array fields and methods are public and static in Theory classes.,Bug fix
"Pull request #621: Added mechanism for matching specific data points in theories to specific parameters, by naming data points.",Add support for a new feature
Pull request #654: Auto-generation of enum and boolean data points,Add support for a new feature
Pull request #651: Improvements to Theory parameter and DataPoint type matching,Bug fix
-,Bug fix
Pull request #639: Failing theory datapoint methods now cause theory test failures,Bug fix
Pull request #658: Iterables can now be used as data points,Add support for a new feature
Pull request #566: Enables inheritance on Category by adding @Inherited,Code redesign
Pull request #503: Configurable Categories,Add support for a new feature
[Pull request #879:] (#879) Add the default 'Implementation-*' headers to the manifest,Maintainability improvement
Pull request #511: Maven project junit:junit:jar,Support for external development tool
Pull request #776: Add support for Travis CI,Support for external development tool
Pull request #921: Apply Google Code Style,Maintainability improvement
Pull request #939 Renamed license file,Bug fix
Pull request #962: Do not include thread start time in test timeout measurements.,Performance improvement
,
Matchers: Upgrade to Hamcrest 1.3,Add support for a new feature
Parameterized Tests,Add support for a new feature
Test execution order,Code redesign
Maven artifacts,Code redesign
MethodRule is no longer deprecated.,Code redesign
Both @Rule and @ClassRule can now be used on methods that return a TestRule.,Code redesign
ExpectedException now always prints the stacktrace of the actual exception in case of failure.,Maintainability improvement
"A parent folder can be specified for TemporaryFolder. In addition, the newFile/newFolder methods will now fail when the file or folder could not be created.",Add support for a new feature
TestWatcher has a new template method called skipped that is invoked when a test is skipped due to a failed assumption.,Add support for a new feature
assertNotEquals has been added to Assert.,Add support for a new feature
assertEquals has been overloaded in order to check whether two floats are equal given a certain float delta.,Add support for a new feature
Most methods in Assume now allow to pass a custom message.,Add support for a new feature
,
junit-dep has correct contents,Bug fix
RuleChain,Add support for a new feature
"TemporaryFolder#newFolder(String... folderNames) creates recursively deep temporary folders [@rodolfoliviero, closing gh-283]",Code redesign
"TemporaryFolder#newFile() creates a randomly named new file, and #newFolder() creates a randomly named new folder [@Daniel Rothmaler, closing gh-299]",Code redesign
"The Theories runner does not anticipate theory parameters that have generic types, as reported by github#64.",Bug fix
